CryptoCurrency,Price,24h change,24h volume,Market cap
Bitcoin,"$16,338.13",-1.90%.,$25.18 B,$311.63 B
Ethereum,"$1,183.05",-3.48%,$6.15 B,$143.19 B
Tether,$1.02,+0.01%,$34.21 B,$65.33 B
BNB,$298.70,-5.37%,$1.03 B,$47.1 B
USD Coin,$1.00,+0.01%,$2.34 B,$44.31 B
Binance USD,$0.9999,+0.01%,$5.93 B,$22.39 B
XRP,$0.3866,-4.64%,$1.02 B,$19.15 B
Dogecoin,$0.09689,-4.63%,$1.97 B,$12.62 B
Cardano,$0.3101,-3.79%,$244.21 M,$10.51 B
Polygon,$0.8324,-4.03%,$273.17 M,$7.16 B
Polkadot,$5.25,-3.17%,$172.89 M,$5.89 B
Dai,$1.01,-0.00%,$197.7 M,$5.66 B
Wrapped TRON,$0.05263,-0.81%,$1.4 M,$5.35 B
Litecoin,$73.15,-7.50%,$747.27 M,$5.16 B
Shiba Inu,$0.000009217,-2.47%,$229.02 M,$4.97 B
Solana,$14.21,-5.19%,$385.57 M,$4.89 B
TRON,$0.05265,-1.00%,$273.23 M,$4.85 B
HEX,$0.0258,-4.20%,$3.01 M,$4.47 B
Lido stETH,"$1,164.21",-2.16%,"$225,536",$4.06 B
Uniswap,$5.33,-4.26%,$64.59 M,$4.01 B
UNUS SED LEO,$3.91,-6.42%,$3.44 M,$3.73 B
Avalanche,$12.49,-4.95%,$173.01 M,$3.7 B
Wrapped Bitcoin,"$16,482.88",-1.86%,$132.5 M,$3.52 B
Chainlink,$6.92,-4.38%,$357.05 M,$3.47 B
Cosmos,$9.97,-3.92%,$89.82 M,$2.78 B
Ethereum Classic,$19.57,-4.42%,$196.96 M,$2.63 B
Monero,$135.02,-1.83%,$68.48 M,$2.46 B
Stellar,$0.08773,-4.36%,$86.92 M,$2.21 B
Toncoin,$1.71,-0.09%,$4.38 M,$2.09 B
Bitcoin Cash,$109.99,-4.08%,$177.4 M,$2.08 B
Algorand,$0.2357,-5.48%,$63.14 M,$1.65 B
Cronos,$0.06297,-3.11%,$14.89 M,$1.58 B
ApeCoin,$3.90,+1.67%,$247.92 M,$1.38 B
Filecoin,$4.29,-5.16%,$123.26 M,$1.38 B
Quant,$116.54,-7.36%,$28.27 M,$1.37 B
VeChain,$0.01882,-3.70%,$38.11 M,$1.33 B
NEAR Protocol,$1.55,-5.77%,$102.4 M,$1.27 B
OKB,$20.27,-3.64%,$14.02 M,$1.22 B
Frax,$0.996,+0.14%,$2.31 M,$1.17 B
Flow,$1.11,-3.48%,$25.64 M,$1.13 B
Hedera,$0.0508,-3.32%,$13.16 M,$1.11 B
Internet Computer,$3.95,-1.30%,$24.89 M,$1.06 B
Elrond,$43.05,-3.37%,$19.99 M,$1 B
Chiliz,$0.1641,-6.58%,$256.72 M,$988.71 M
EOS,$0.9123,-4.09%,$133.68 M,$963.24 M
Huobi Token,$6.23,-11.39%,$47.1 M,$955.02 M
Pax Dollar,$0.9995,+0.12%,$1.99 M,$945.17 M
Luna Classic,$0.000173,-1.75%,$109.77 M,$944.33 M
Theta Network,$0.9108,-1.61%,$36.06 M,$910.77 M
Wrapped BNB,$294.22,-5.32%,$87 M,$897.34 M
